Tec;Probab;Probab Acum;Números Aleatórios;;;
;;;0,364757225;15;;
;;;0,921201209;30;;
;;;0,017090365;5;;
;;;0,425428022;15;;
;;;0,637318033;20;;
;;;0,616382336;20;;
;;;0,559129612;15;;
;;;0,418683432;15;;
;;;0,293557543;10;;
;;;0,256874294;10;;
;;;0,256935331;10;;
;;;0,125247963;10;;
;;;0,799127171;25;;
;;;0,788262581;25;;
;;;0,747245705;20;;
;;;0,715689566;20;;
;;;0,900601215;30;;
;;;0,695730461;20;;
;;;0,898922697;25;;
;;;0,109073153;10;;
;;;0,762962737;25;;
;;;0,217352824;10;;
;;;0,299111911;10;;
;;;0,140293588;10;;
;;;0,593127232;15;;
;;;0,097964415;5;;
;;;0,116031373;10;;
;;;0,596118046;15;;
;;;0,656300546;20;;
;;;0,165593432;10;;
;;;0,495223853;15;;
;;;0,651844844;20;;
;;;0,090945158;5;;
;;;0,511123997;15;;
;;;0,144932402;10;;
;;;0,739738151;20;;
;;;0,429059725;15;;
;;;0,552873318;15;;
;;;0,267586291;10;;
;;;0,380046999;15;;
;;;0,227393414;10;;
;;;0,767326884;25;;
;;;0,492873928;15;;
;;;0,006439405;5;;
;;;0,716818751;20;;
;;;0,366893521;15;;
;;;0,969237342;30;;
;;;0,316690573;15;;
;;;0,874935148;25;;
;;;0,706289865;20;;
;;;0,269722587;10;;
;;;0,179876095;10;;
;;;0,829157384;25;;
;;;0,698660237;20;;
;;;0,268654439;10;;
;;;0,63185522;20;;
;;;0,995941038;30;;
;;;0,02273629;5;;
;;;0,645130772;20;;
;;;0,989471114;30;;
;;;0,862758263;25;;
;;;0,402386547;15;;
;;;0,169591357;10;;
;;;0,615344707;20;;
;;;0,81859798;25;;
;;;0,739280374;20;;
;;;0,430372021;15;;
;;;0,364421522;15;;
;;;0,939939573;30;;
;;;0,380779443;15;;
;;;0,155278176;10;;
;;;0,243140965;10;;
;;;0,137607959;10;;
;;;0,303750725;15;;
;;;0,785607471;25;;
;;;0,312875759;15;;
;;;0,571733757;15;;
;;;0,495223853;15;;
;;;0,458113346;15;;
;;;0,368846706;15;;
;;;0,740012818;20;;
;;;0,312204352;15;;
;;;0,051637318;5;;
;;;0,425489059;15;;
;;;0,146305734;10;;
;;;0,100802637;10;;
;;;0,454206977;15;;
;;;0,53993347;15;;
;;;0,955839717;30;;
;;;0,856440931;25;;
;;;0,70720542;20;;
;;;0,004394665;5;;
;;;0,542191839;15;;
;;;0,206518754;10;;
;;;0,182805872;10;;
;;;0,439283425;15;;
;;;0,334086123;15;;
;;;0,496505631;15;;
;;;0,450819422;15;;
;;;0,817407758;25;;
;;;0,866481521;25;;
;;;0,260536515;10;;
;;;0,991027558;30;;
;;;0,951628162;30;;
;;;0,443372906;15;;
;;;0,858577227;25;;
;;;0,407879879;15;;
;;;0,476424451;15;;
;;;0,318216498;15;;
;;;0,560228278;15;;
;;;0,303079318;15;;
;;;0,854792932;25;;
;;;0,797814875;25;;
;;;0,857539598;25;;
;;;0,462721641;15;;
;;;0,441816462;15;;
;;;0,176671651;10;;
;;;0,287301248;10;;
;;;0,51515244;15;;
;;;0,136234626;10;;
;;;0,907589953;30;;
;;;0,544572283;15;;
;;;0,715659047;20;;
;;;0,651051363;20;;
;;;0,91460921;30;;
;;;0,168156987;10;;
;;;0,014587848;5;;
;;;0,93447676;30;;
;;;0,455000458;15;;
;;;0,579943236;15;;
;;;0,064851833;5;;
;;;0,772667623;25;;
;;;0,436445204;15;;
;;;0,758781701;25;;
;;;0,324808496;15;;
;;;0,105288858;10;;
;;;0,595141453;15;;
;;;0,330484939;15;;
;;;0,913632618;30;;
;;;0,085207678;5;;
;;;0,441816462;15;;
;;;0,355082858;15;;
;;;0,374462111;15;;
;;;0,413464766;15;;
;;;0,381572924;15;;
;;;0,592455824;15;;
;;;0,002227851;5;;
;;;0,981109043;30;;
;;;0,913571581;30;;
;;;0,528000732;15;;
;;;0,892147588;25;;
;;;0,348796045;15;;
;;;0,317270425;15;;
;;;0,939024018;30;;
;;;0,365001373;15;;
;;;0,095583972;5;;
;;;0,73116245;20;;
;;;0,283608509;10;;
;;;0,925992615;30;;
;;;0,567918943;15;;
;;;0,030274361;5;;
;;;0,692983795;20;;
;;;0,412427137;15;;
;;;0,060548723;5;;
;;;0,408917508;15;;
;;;0,848414563;25;;
;;;0,488021485;15;;
;;;0,960325938;30;;
;;;0,074587237;5;;
;;;0,524460585;15;;
;;;0,138065737;10;;
;;;0,883632923;25;;
;;;0,959471419;30;;
;;;0,079256569;5;;
;;;0,323831904;15;;
;;;0,340006714;15;;
;;;0,85586108;25;;
;;;0,673512986;20;;
;;;0,450666829;15;;
;;;0,951780755;30;;
;;;0,881710257;25;;
;;;0,498825037;15;;
;;;0,807153539;25;;
;;;0,761833552;25;;
;;;0,682210761;20;;
;;;0,797784356;25;;
;;;0,631153294;20;;
;;;0,660542619;20;;
;;;0,274330882;10;;
;;;0,955473495;30;;
;;;0,959135716;30;;
;;;0,462904752;15;;
;;;0,94000061;30;;
;;;0,445204016;15;;
;;;0,914700766;30;;
;;;0,66768395;20;;
;;;0,074159978;5;;
;;;0,908536027;30;;
;;;0,593127232;15;;
;;;0,428968169;15;;
;;;0,394665365;15;;
;;;0,151585437;10;;
;;;0,197668386;10;;
;;;0,772301401;25;;
;;;0,419171728;15;;
;;;0,338511307;15;;
;;;0,584124271;15;;
;;;0,585863826;15;;
;;;0,616382336;20;;
;;;0,163365581;10;;
;;;0,869838557;25;;
;;;0,418530839;15;;
;;;0,136906034;10;;
;;;0,282113102;10;;
;;;0,2633137;10;;
;;;0,615802484;20;;
;;;0,530961028;15;;
;;;0,785180212;25;;
;;;0,771141697;25;;
;;;0,824671163;25;;
;;;0,357921079;15;;
;;;0,992584002;30;;
;;;0,93755913;30;;
;;;0,399029511;15;;
;;;0,095553453;5;;
;;;0,352488784;15;;
;;;0,27396466;10;;
;;;0,736838893;20;;
;;;0,253700369;10;;
;;;0,72460097;20;;
;;;0,533951842;15;;
;;;0,079927976;5;;
;;;0,099520859;5;;
;;;0,829401532;25;;
;;;0,490127262;15;;
;;;0,808130131;25;;
;;;0,900326548;30;;
;;;0,14474929;10;;
;;;0,369396039;15;;
;;;0,758659627;25;;
;;;0,090121158;5;;
;;;0,031098361;5;;
;;;0,602679525;20;;
;;;0,602343822;20;;
;;;0,266457106;10;;
;;;0,366374706;15;;
;;;0,045075838;5;;
;;;0,807458724;25;;
;;;0,423322245;15;;
;;;0,471785638;15;;
;;;0,323282571;15;;
;;;0,22296823;10;;
;;;0,326822718;15;;
;;;0,610003967;20;;
;;;0,46601764;15;;
;;;0,8120365;25;;
;;;0,43958861;15;;
;;;0,837000641;25;;
;;;0,473982971;15;;
;;;0,567094943;15;;
;;;0,300332652;15;;
;;;0,488265633;15;;
;;;0,985595264;30;;
;;;0,1380047;10;;
;;;0,764671773;25;;
;;;0,08148442;5;;
;;;0,694387646;20;;
;;;0,204229865;10;;
;;;0,013489181;5;;
;;;0,916226691;30;;
;;;0,675038911;20;;
;;;0,122348704;10;;
;;;0,735404523;20;;
;;;0,15192114;10;;
;;;0,2735374;10;;
;;;0,880367443;25;;
;;;0,388683737;15;;
;;;0,646412549;20;;
;;;0,718131046;20;;
;;;0,889767144;25;;
;;;0,950407422;30;;
;;;0,334391308;15;;
;;;0,107181005;10;;
;;;0,646717734;20;;
;;;0,057252724;5;;
;;;0,429090243;15;;
;;;0,930478835;30;;
;;;0,793969543;25;;
;;;0,94595172;30;;
;;;0,227027192;10;;
;;;0,779595325;25;;
;;;0,613757744;20;;
;;;0,098055971;5;;
;;;0,797387616;25;;
;;;0,404248177;15;;
;;;0,484328745;15;;
;;;0,996765038;30;;
;;;0,337870418;15;;
;;;0,770653401;25;;
;;;0,329996643;15;;
;;;0,900601215;30;;
;;;0,477340007;15;;
;;;0,277626881;10;;
;;;0,597094638;15;;
;;;0,041627247;5;;
;;;0,307351909;15;;
;;;0,787926878;25;;
;;;0,786095767;25;;
;;;0,153233436;10;;
;;;0,423200171;15;;
;;;0,629352702;20;;
;;;0,071901608;5;;
;;;0,734458449;20;;
;;;0,756065554;25;;
;;;0,223670156;10;;
;;;0,043427839;5;;
;;;0,956755272;30;;
;;;0,477462081;15;;
;;;0,498184149;15;;
;;;0,093111972;5;;
;;;0,61976989;20;;
;;;0,757255776;25;;
;;;0,736930448;20;;
;;;0,488418226;15;;
;;;0,062196722;5;;
;;;0,656147954;20;;
;;;0,027558214;5;;
;;;0,656208991;20;;
;;;0,433698538;15;;
;;;0,93469039;30;;
;;;0,960386975;30;;
;;;0,711111789;20;;
;;;0,234626301;10;;
;;;0,058870205;5;;
;;;0,735068819;20;;
;;;0,759331034;25;;
;;;0,529648732;15;;
;;;0,18509476;10;;
;;;0,332529679;15;;
;;;0,009155553;5;;
;;;0,741111484;20;;
;;;0,404034547;15;;
;;;0,906949065;30;;
;;;0,219428083;10;;
;;;0,429090243;15;;
;;;0,026062807;5;;
;;;0,054811243;5;;
;;;0,516861476;15;;
;;;0,96395764;30;;
;;;0,188909574;10;;
;;;0,117618336;10;;
;;;0,114017151;10;;
;;;0,497451704;15;;
;;;0,568498795;15;;
;;;0,173345134;10;;
;;;0,958922086;30;;
;;;0,139255959;10;;
;;;0,474959563;15;;
;;;0,874294259;25;;
;;;0,847315897;25;;
;;;0,744743187;20;;
;;;0,114322336;10;;
;;;0,786278878;25;;
;;;0,029358806;5;;
;;;0,220007935;10;;
;;;0,297769097;10;;
;;;0,386425367;15;;
;;;0,841669973;25;;
;;;0,751396222;25;;
;;;0,379161962;15;;
;;;0,375469222;15;;
;;;0,39558092;15;;
;;;0,864345225;25;;
;;;0,702444533;20;;
;;;0,460310678;15;;
;;;0,854060488;25;;
;;;0,719138157;20;;
;;;0,340037233;15;;
;;;0,263954588;10;;
;;;0,327005829;15;;
;;;0,548875393;15;;
;;;0,403546251;15;;
;;;0,518509476;15;;
;;;0,917538987;30;;
;;;0,64659566;20;;
;;;0,707937864;20;;
;;;0,19757683;10;;
;;;0,949308756;30;;
;;;0,807061983;25;;
;;;0,070406201;5;;
;;;0,744499039;20;;
;;;0,907437361;30;;
;;;0,630268258;20;;
;;;0,025513474;5;;
;;;0,052278207;5;;
;;;0,122959075;10;;
;;;0,592303232;15;;
;;;0,237250893;10;;
;;;0,352122562;15;;
;;;0,733024079;20;;
;;;0,29013947;10;;
;;;0,389812922;15;;
;;;0,665974914;20;;
;;;0,947538682;30;;
;;;0,766441847;25;;
;;;0,838221381;25;;
;;;0,980162969;30;;
;;;0,153721732;10;;
;;;0,320596942;15;;
;;;0,799737541;25;;
;;;0,795678579;25;;
;;;0,890163884;25;;
;;;0,712759789;20;;
;;;0,367717521;15;;
;;;0,211859493;10;;
;;;0,220587786;10;;
;;;0,166081729;10;;
;;;0,128879666;10;;
;;;0,199468978;10;;
;;;0,539902951;15;;
;;;0,074587237;5;;
;;;0,665486618;20;;
;;;0,219458602;10;;
;;;0,342722861;15;;
;;;0,822016053;25;;
;;;0,723227638;20;;
;;;0,843653676;25;;
;;;0,986297189;30;;
;;;0,618366039;20;;
;;;0,326731162;15;;
;;;0,533707694;15;;
;;;0,978637043;30;;
;;;0,760429701;25;;
;;;0,623523667;20;;
;;;0,234534745;10;;
;;;0,823419904;25;;
;;;0,221961119;10;;
;;;0,737357707;20;;
;;;0,938413648;30;;
;;;0,952726829;30;;
;;;0,980864895;30;;
;;;0,4131901;15;;
;;;0,875789666;25;;
;;;0,778801843;25;;
;;;0,988036744;30;;
;;;0,734000671;20;;
;;;0,489913633;15;;
;;;0,396557512;15;;
;;;0,186040834;10;;
;;;0,69103061;20;;
;;;0,850184637;25;;
;;;0,967284158;30;;
;;;0,482161931;15;;
;;;0,889278848;25;;
;;;0,661763359;20;;
;;;0,315500351;15;;
;;;0,082888272;5;;
;;;0,168553728;10;;
;;;0,526779992;15;;
;;;0,769951476;25;;
;;;0,096285897;5;;
;;;0,421979431;15;;
;;;0,614062929;20;;
;;;0,779869991;25;;
;;;0,80794702;25;;
;;;0,393017365;15;;
;;;0,392956328;15;;
;;;0,337961974;15;;
;;;0,536942656;15;;
;;;0,732139042;20;;
;;;0,588183233;15;;
;;;0,741447188;20;;
;;;0,478408155;15;;
;;;0,094759972;5;;
;;;0,011383404;5;;
;;;0,721701712;20;;
;;;0,438428907;15;;
;;;0,561204871;15;;
;;;0,426129948;15;;
;;;0,474959563;15;;
;;;0,867885372;25;;
;;;0,160161138;10;;
;;;0,102053896;10;;
;;;0,62428663;20;;
;;;0,101290933;10;;
;;;0,777214881;25;;
;;;0,215155492;10;;
;;;0,644367809;20;;
;;;0,207098605;10;;
;;;0,228980377;10;;
;;;0,749443037;20;;
;;;0,780816065;25;;
;;;0,355418561;15;;
;;;0,784966582;25;;
;;;0,057313761;5;;
;;;0,994384594;30;;
;;;0,109714042;10;;
;;;0,917325358;30;;
;;;0,734244819;20;;
;;;0,962187567;30;;
;;;0,548448134;15;;
;;;0,561113315;15;;
;;;0,96395764;30;;
;;;0,66667684;20;;
;;;0,623126926;20;;
;;;0,664998321;20;;
;;;0,990813929;30;;
;;;0,603839228;20;;
;;;0,658925138;20;;
;;;0,314432203;15;;
;;;0,875270852;25;;
;;;0,141575365;10;;
;;;0,40418714;15;;
;;;0,20844142;10;;
;;;0,1887875;10;;
;;;0,059938353;5;;
;;;0,534775842;15;;
;;;0,770928068;25;;
;;;0,804742576;25;;
;;;0,804223762;25;;
;;;0,020050661;5;;
;;;0,678212836;20;;
;;;0,440504166;15;;
;;;0,482070376;15;;
;;;0,25635548;10;;
;;;0,083803827;5;;
;;;0,108798486;10;;
;;;0,136082034;10;;
;;;0,374004334;15;;
;;;0,32166509;15;;
;;;0,132663961;10;;
;;;0,323160497;15;;
;;;0,624897;20;;
;;;0,369029817;15;;
;;;0,881405072;25;;
;;;0,531388287;15;;
;;;0,256019776;10;;
;;;0,850703452;25;;
;;;0,883632923;25;;
;;;0,466505936;15;;
;;;0,775749992;25;;
;;;0,86507767;25;;
;;;0,473281045;15;;
;;;0,738456374;20;;
;;;0,01882992;5;;
;;;0,414227729;15;;
;;;0,625293741;20;;
;;;0,979644154;30;;
;;;0,916653951;30;;
;;;0,718314158;20;;
;;;0,136753441;10;;
;;;0,926145207;30;;
;;;0,378490555;15;;
;;;0,196111942;10;;
;;;0,810266427;25;;
;;;0,493057039;15;;
;;;0,190923795;10;;
;;;0,393078402;15;;
;;;0,795190283;25;;
;;;0,375194555;15;;
;;;0,340311899;15;;
;;;0,637562181;20;;
;;;0,743736076;20;;
;;;0,204382458;10;;
;;;0,665974914;20;;
;;;0,706930754;20;;
;;;0,937437056;30;;
;;;0,794824061;25;;
;;;0,249458296;10;;
;;;0,284859767;10;;
;;;0,040620136;5;;
;;;0,507217627;15;;
;;;0,44636372;15;;
;;;0,490646077;15;;
;;;0,637440107;20;;
;;;0,263863033;10;;
;;;0,966978973;30;;
;;;0,262153996;10;;
;;;0,20761742;10;;
;;;0,244850002;10;;
;;;0,91216773;30;;
;;;0,873531297;25;;
;;;0,69881283;20;;
;;;0,797448653;25;;
;;;0,170323801;10;;
;;;0,368907743;15;;
;;;0,350077822;15;;
;;;0,589434492;15;;
;;;0,082216865;5;;
;;;0,193456832;10;;
;;;0,924253059;30;;
;;;0,538102359;15;;
;;;0,779381695;25;;
;;;0,802728355;25;;
;;;0,004181036;5;;
;;;0,545609912;15;;
;;;0,10257271;10;;
;;;0,532090213;15;;
;;;0,510177923;15;;
;;;0,572435682;15;;
;;;0,507003998;15;;
;;;0,506881924;15;;
;;;0,093966491;5;;
;;;0,079714347;5;;
;;;0,859492782;25;;
;;;0,875057222;25;;
;;;0,566209906;15;;
;;;0,372386853;15;;
;;;0,534958953;15;;
;;;0,143070772;10;;
;;;0,013214515;5;;
;;;0,873531297;25;;
;;;0,717886898;20;;
;;;0,897000031;25;;
;;;0,759666738;25;;
;;;0,861781671;25;;
;;;0,314737388;15;;
;;;0,689046907;20;;
;;;0,832758568;25;;
;;;0,703054903;20;;
;;;0,384655293;15;;
;;;0,371868038;15;;
;;;0,085146641;5;;
;;;0,107425153;10;;
;;;0,493209632;15;;
;;;0,661183508;20;;
;;;0,632099368;20;;
;;;0,442732017;15;;
;;;0,896877956;25;;
;;;0,208014161;10;;
;;;0,759147923;25;;
;;;0,6359447;20;;
;;;0,963438826;30;;
;;;0,962309641;30;;
;;;0,956938383;30;;
;;;0,694051943;20;;
;;;0,735068819;20;;
;;;0,10831019;10;;
;;;0,239326151;10;;
;;;0,374797815;15;;
;;;0,040437025;5;;
;;;0,354106265;15;;
;;;0,400769066;15;;
;;;0,039613025;5;;
;;;0,061555834;5;;
;;;0,855342265;25;;
;;;0,36936552;15;;
;;;0,218970305;10;;
;;;0,762199774;25;;
;;;0,555162206;15;;
;;;0,312143315;15;;
;;;0,922116764;30;;
;;;0,08374279;5;;
;;;0,221564379;10;;
;;;0,648274178;20;;
;;;0,22214423;10;;
;;;0,315042573;15;;
;;;0,963164159;30;;
;;;0,626728111;20;;
;;;0,147923215;10;;
;;;0,542252876;15;;
;;;0,50450148;15;;
;;;0,624958037;20;;
;;;0,413373211;15;;
;;;0,584795679;15;;
;;;0,002838221;5;;
;;;0,82412183;25;;
;;;0,01638844;5;;
;;;0,324381237;15;;
;;;0,686819056;20;;
;;;0,417798395;15;;
;;;0,238135929;10;;
;;;0,83230079;25;;
;;;0,098635823;5;;
;;;0,010071108;5;;
;;;0,073519089;5;;
;;;0,202276681;10;;
;;;0,221472823;10;;
;;;0,359233375;15;;
;;;0,625141148;20;;
;;;0,494369335;15;;
;;;0,272194586;10;;
;;;0,123538926;10;;
;;;0,490920743;15;;
;;;0,696371349;20;;
;;;0,441999573;15;;
;;;0,76516007;25;;
;;;0,677449873;20;;
;;;0,109408856;10;;
;;;0,365123447;15;;
;;;0,268532365;10;;
;;;0,069673757;5;;
;;;0,063356426;5;;
;;;0,597582934;15;;
;;;0,829523606;25;;
;;;0,988921781;30;;
;;;0,368449965;15;;
;;;0,886684774;25;;
;;;0,171330912;10;;
;;;0,869380779;25;;
;;;0,409833064;15;;
;;;0,5131077;15;;
;;;0,643879513;20;;
;;;0,585711234;15;;
;;;0,290627766;10;;
;;;0,48628193;15;;
;;;0,762382885;25;;
;;;0,461806085;15;;
;;;0,930326243;30;;
;;;0,874538408;25;;
;;;0,341837825;15;;
;;;0,492660298;15;;
;;;0,524185919;15;;
;;;0,051362651;5;;
;;;0,883388775;25;;
;;;0,810174871;25;;
;;;0,270607624;10;;
;;;0,138889737;10;;
;;;0,368724631;15;;
;;;0,924680319;30;;
;;;0,772087771;25;;
;;;0,429883724;15;;
;;;0,119357891;10;;
;;;0,772698141;25;;
;;;0,016144292;5;;
;;;0,069490646;5;;
;;;0,876064333;25;;
;;;0,103030488;10;;
;;;0,342967009;15;;
;;;0,778038881;25;;
;;;0,755668813;25;;
;;;0,231635487;10;;
;;;0,305185095;15;;
;;;0,896084475;25;;
;;;0,240974151;10;;
;;;0,697012238;20;;
;;;0,826868496;25;;
;;;0,532883694;15;;
;;;0,859981079;25;;
;;;0,847285379;25;;
;;;0,56715598;15;;
;;;0,099948119;5;;
;;;0,710928678;20;;
;;;0,890102847;25;;
;;;0,895840327;25;;
;;;0,010071108;5;;
;;;0,489333781;15;;
;;;0,436719871;15;;
;;;0,385845515;15;;
;;;0,824213385;25;;
;;;0,173070467;10;;
;;;0,071474349;5;;
;;;0,229987487;10;;
;;;0,626392407;20;;
;;;0,022156438;5;;
;;;0,977874081;30;;
;;;0,487746818;15;;
;;;0,908810694;30;;
;;;0,048951689;5;;
;;;0,152470473;10;;
;;;0,568163091;15;;
;;;0,747520371;20;;
;;;0,615466781;20;;
;;;0,238258003;10;;
;;;0,855433821;25;;
;;;0,550767541;15;;
;;;0,31388287;15;;
;;;0,507858516;15;;
;;;0,883571886;25;;
;;;0,160588397;10;;
;;;0,786584063;25;;
;;;0,028992584;5;;
;;;0,965636158;30;;
;;;0,589342936;15;;
;;;0,641560106;20;;
;;;0,542313913;15;;
;;;0,684774316;20;;
;;;0,172002319;10;;
;;;0,120365001;10;;
;;;0,083712271;5;;
;;;0,152623066;10;;
;;;0,416119877;15;;
;;;0,673574023;20;;
;;;0,881893368;25;;
;;;0,44145024;15;;
;;;0,329874569;15;;
;;;0,101260414;10;;
;;;0,56245613;15;;
;;;0,096560564;5;;
;;;0,51023896;15;;
;;;0,413922544;15;;
;;;0,190252388;10;;
;;;0,135013886;10;;
;;;0,77190466;25;;
;;;0,070284127;5;;
;;;0,180455947;10;;
;;;0,436750389;15;;
;;;0,598529008;15;;
;;;0,748619037;20;;
;;;0,610309153;20;;
;;;0,934629353;30;;
;;;0,197759941;10;;
;;;0,307016205;15;;
;;;0,962309641;30;;
;;;0,509720145;15;;
;;;0,44062624;15;;
;;;0,090060121;5;;
;;;0,830439161;25;;
;;;0,997711112;30;;
;;;0,467085788;15;;
;;;0,236671041;10;;
;;;0,620563372;20;;
;;;0,212805567;10;;
;;;0,239112522;10;;
;;;0,146794031;10;;
;;;0,775963622;25;;
;;;0,395916623;15;;
;;;0,821893979;25;;
;;;0,762169256;25;;
;;;0,559862056;15;;
;;;0,992309336;30;;
;;;0,674886319;20;;
;;;0,817865535;25;;
;;;0,925565355;30;;
;;;0,165959655;10;;
;;;0,734244819;20;;
;;;0,720999786;20;;
;;;0,505813776;15;;
;;;0,956633198;30;;
;;;0,566972869;15;;
;;;0,21231727;10;;
;;;0,252632221;10;;
;;;0,485183264;15;;
;;;0,379009369;15;;
;;;0,467513047;15;;
;;;0,758751183;25;;
;;;0,114749596;10;;
;;;0,157933287;10;;
;;;0,794000061;25;;
;;;0,791802728;25;;
;;;0,972533341;30;;
;;;0,731528672;20;;
;;;0,579790643;15;;
;;;0,072817164;5;;
;;;0,73955504;20;;
;;;0,023926511;5;;
;;;0,650654622;20;;
;;;0,830195013;25;;
;;;0,114169744;10;;
;;;0,290108951;10;;
;;;0,691610462;20;;
;;;0,159794916;10;;
;;;0,855800043;25;;
;;;0,609973449;20;;
;;;0,888943144;25;;
;;;0,723868526;20;;
;;;0,814508499;25;;
;;;0,42384106;15;;
;;;0,4496292;15;;
;;;0,818018128;25;;
;;;0,853755303;25;;
;;;0,389904477;15;;
;;;0,15356914;10;;
;;;0,339396344;15;;
;;;0,071626942;5;;
;;;0,345225379;15;;
;;;0,59541612;15;;
;;;0,686178167;20;;
;;;0,227240822;10;;
;;;0,651692251;20;;
;;;0,272072512;10;;
;;;0,119998779;10;;
;;;0,77846614;25;;
;;;0,707724235;20;;
;;;0,172307505;10;;
;;;0,622455519;20;;
;;;0,437086093;15;;
;;;0,907528916;30;;
;;;0,024231697;5;;
;;;0,777184362;25;;
;;;0,64824366;20;;
;;;0,828577532;25;;
;;;0,857631153;25;;
;;;0,708243049;20;;
;;;0,8992584;25;;
;;;0,929074984;30;;
;;;0,036561174;5;;
;;;0,606921598;20;;
;;;0,265419477;10;;
;;;0,536301767;15;;
;;;0,41953795;15;;
;;;0,877101962;25;;
;;;0,098117008;5;;
;;;0,407422102;15;;
;;;0,802087466;25;;
;;;0,431348613;15;;
;;;0,261574145;10;;
;;;0,643513291;20;;
;;;0,299356059;10;;
;;;0,168645283;10;;
;;;0,825006867;25;;
;;;0,238502152;10;;
;;;0,824457533;25;;
;;;0,164891507;10;;
;;;0,615924558;20;;
;;;0,044373913;5;;
;;;0,318247017;15;;
;;;0,607562487;20;;
;;;0,541123692;15;;
;;;0,433088168;15;;
;;;0,887905515;25;;
;;;0,005829035;5;;
;;;0,081301309;5;;
;;;0,437513352;15;;
;;;0,509445479;15;;
;;;0,707358013;20;;
;;;0,866054262;25;;
;;;0,651905881;20;;
;;;0,451490829;15;;
;;;0,252693258;10;;
;;;0,734885708;20;;
;;;0,673390912;20;;
;;;0,075319681;5;;
;;;0,599322489;15;;
;;;0,190984832;10;;
;;;0,36588641;15;;
;;;0,168767357;10;;
;;;0,745567186;20;;
;;;0,653920103;20;;
;;;0,727225562;20;;
;;;0,469252602;15;;
;;;0,786523026;25;;
